-9.115,2.021,-2.789,-5.725,-10.924,-46.420
-9.203,2.078,-2.543,1.672,11.229,-20.550
-9.407,1.786,-2.693,-6.092,5.435,1.198
-9.309,1.990,-2.765,-6.504,5.595,-3.718
-9.263,1.978,-2.631,-5.573,8.191,-0.374
-9.234,1.729,-2.844,-5.649,4.321,1.893
-9.318,1.798,-2.871,-5.061,4.901,-1.214
-9.297,2.004,-2.713,-7.160,8.023,-0.771
-9.290,1.997,-2.583,-7.450,6.496,-2.382
-9.273,1.915,-2.851,-6.824,5.038,-3.405
-9.043,1.894,-2.787,-7.824,5.893,-4.992
-9.246,1.985,-2.567,-6.527,9.000,4.344
-9.191,1.911,-2.593,-7.573,8.076,-1.977
-9.345,1.796,-2.674,-6.901,7.229,5.359
-10.060,7.520,-1.142,-50.916,48.420,-159.115
-10.060,7.520,-1.142,-50.916,48.420,-159.115
-9.349,-3.886,-3.759,6.176,-10.366,35.626
-7.779,3.366,-2.473,71.290,0.122,166.137
-10.027,4.118,-2.073,4.870,10.008,13.840
-8.071,2.780,-3.098,-2.168,2.779,-13.519
-9.407,4.010,-2.574,-21.382,19.748,-5.779
-7.839,8.593,-1.547,-84.260,38.336,-129.985
-6.424,6.653,1.104,-142.122,62.588,-250.137
-9.163,-2.974,-4.432,-10.550,14.122,78.840
-9.220,-0.043,-3.517,43.160,-3.771,66.115
-8.844,0.273,-3.488,70.153,-10.573,53.313
-8.885,2.622,-2.904,48.969,-16.305,44.267
-8.674,4.894,-2.351,-68.947,9.260,-10.718
-6.012,-4.108,-9.847,-159.550,-129.802,-213.962
-8.758,-6.076,-8.648,-141.328,145.763,-9.832
-8.911,0.441,-4.580,32.214,-1.481,101.298
-7.369,0.630,-4.968,89.817,-20.809,47.649
-8.863,3.666,-3.508,76.504,-14.695,76.977
-8.655,3.577,-3.888,-16.840,9.313,-9.351
-6.024,3.874,-1.247,-146.611,-24.412,-133.634
-5.449,-4.094,-9.598,-217.420,3.053,-102.580
-9.225,0.256,-3.292,44.221,33.237,72.420
-8.143,-0.263,-5.045,100.221,-4.786,49.031
-8.827,2.277,-3.589,109.267,-30.695,55.794
-8.425,4.345,-3.378,20.527,-3.534,-14.389
-4.355,1.592,-2.689,-222.405,-41.008,-170.366
-10.168,-4.932,-7.688,-119.015,-86.305,35.145
-11.387,-3.596,-4.709,48.092,18.496,55.351
-9.606,-1.678,-3.682,105.290,-7.580,88.267
-9.589,3.120,-1.164,72.702,-45.809,58.313
-10.063,0.577,-0.675,-13.947,17.527,-27.679
-8.009,0.998,-1.726,-171.382,-3.053,-139.130
-6.189,-7.970,-6.984,-176.275,-79.130,-184.397
-10.609,-5.921,-4.662,21.702,23.908,114.550
-8.392,-3.156,-4.381,87.015,18.634,104.122
-8.353,3.366,-2.679,87.855,-22.992,114.023
-8.777,2.073,-2.555,64.626,-30.198,82.359
-9.091,3.742,-1.669,-124.458,11.000,-103.374
-5.224,4.932,-1.183,-168.313,64.863,-198.023
-7.008,-4.755,-5.035,-16.710,63.000,67.496
-10.798,-4.458,-5.377,-14.878,-5.634,82.847
-7.942,2.049,-3.177,146.458,-38.992,101.626
-9.503,2.974,-2.140,117.153,-56.511,65.649
-8.985,4.738,-1.927,42.489,-11.763,10.718
-9.881,5.425,-0.749,-125.626,44.046,-119.076
-12.766,-7.501,-8.954,-99.794,-30.885,-164.870
-7.544,-5.504,-8.631,-34.160,-3.641,32.802
-7.494,-0.182,-3.788,103.626,4.145,75.595
-9.148,0.443,-2.543,79.221,-19.313,127.328
-8.550,1.767,-2.634,78.702,-4.290,51.115
-8.681,4.973,-2.241,-33.450,19.267,-38.405
-6.285,0.359,-1.271,-144.023,42.458,-250.137
-2.859,-8.033,-13.939,-106.847,-72.557,-137.038
-8.619,-3.632,-5.538,34.824,-3.046,119.466
