ax,ay,az,gx,gy,gz,cls
-4.506,-1.429,-8.780,-6.931,6.656,-2.046,1
-4.561,-1.403,-8.882,-7.061,6.565,-1.710,1
-4.484,-1.422,-8.837,-6.969,6.679,-1.931,1
-4.518,-1.401,-8.918,-7.053,6.580,-1.710,1
-4.477,-1.432,-8.863,-6.962,6.557,-1.969,1
-4.513,-1.429,-8.904,-7.015,6.679,-1.954,1
-4.523,-1.422,-8.842,-7.206,6.305,-1.344,1
-4.525,-1.458,-8.887,-6.832,6.817,-2.298,1
-4.506,-1.475,-8.837,-7.191,6.389,-1.489,1
-4.554,-1.389,-8.844,-7.092,6.519,-1.588,1
-4.482,-1.434,-8.871,-6.939,6.733,-1.977,1
-4.532,-1.434,-8.784,-6.992,6.534,-1.794,1
-4.520,-1.444,-8.866,-7.130,6.496,-1.527,1
-4.530,-1.403,-8.825,-7.069,6.519,-1.672,1
-4.501,-1.432,-8.808,-6.908,6.756,-2.069,1
-4.525,-1.398,-8.866,-7.153,6.450,-1.519,1
-4.515,-1.413,-8.890,-6.947,6.603,-1.947,1
-4.503,-1.434,-8.784,-6.916,6.496,-1.832,1
-4.539,-1.413,-8.806,-7.130,6.527,-1.504,1
-4.503,-1.420,-8.880,-7.008,6.725,-2.076,1
-4.537,-1.429,-8.830,-6.992,6.641,-1.885,1
-4.527,-1.439,-8.880,-7.107,6.588,-1.771,1
-4.559,-1.410,-8.880,-6.885,6.786,-2.092,1
-4.539,-1.408,-8.839,-7.198,6.405,-1.603,1
-4.503,-1.410,-8.849,-7.076,6.504,-1.542,1
-4.523,-1.453,-8.880,-6.954,6.641,-1.969,1
-4.480,-1.432,-8.792,-7.031,6.557,-1.809,1
-4.506,-1.408,-8.854,-7.061,6.550,-1.687,1
-4.520,-1.398,-8.811,-6.969,6.641,-1.931,1
-4.511,-1.408,-8.875,-7.023,6.565,-1.824,1
-4.542,-1.422,-8.897,-7.084,6.611,-1.916,1
-4.515,-1.401,-8.880,-7.053,6.664,-1.824,1
-4.551,-1.415,-8.818,-7.168,6.489,-1.519,1
-4.530,-1.396,-8.923,-7.092,6.542,-1.702,1
-4.523,-1.413,-8.854,-6.908,6.626,-1.855,1
-4.523,-1.391,-8.835,-7.137,6.573,-1.641,1
-4.544,-1.429,-8.839,-6.962,6.687,-1.947,1
-4.549,-1.453,-8.861,-7.130,6.458,-1.611,1
-4.551,-1.458,-8.849,-7.046,6.672,-1.870,1
-4.515,-1.422,-8.808,-7.069,6.534,-1.771,1
-4.477,-1.415,-8.863,-7.092,6.611,-1.779,1
