ax,ay,az,gx,gy,gz,cls
-5.083,-3.098,-8.085,-7.130,6.695,-1.710,1
-5.121,-3.115,-8.078,-7.069,6.771,-1.840,1
-5.069,-3.127,-8.076,-7.183,6.771,-1.832,1
-5.121,-3.098,-8.102,-7.214,6.710,-1.588,1
-5.092,-3.129,-8.011,-7.046,6.817,-1.779,1
-5.112,-3.168,-8.013,-7.168,6.702,-1.748,1
-5.150,-2.990,-7.858,-5.916,5.397,-1.855,1
1.216,4.958,-15.847,-32.794,138.122,-57.565,2
-7.652,-4.932,-11.746,-70.115,-0.313,-55.031,2
-6.943,2.191,-3.922,-100.557,-250.137,-10.389,2
-5.401,-2.258,-2.155,155.588,53.290,141.947,2
-6.711,-5.988,-3.979,-70.916,-24.069,-110.198,2
-2.097,-9.210,-8.380,-105.481,3.145,98.237,2
-13.307,5.756,-14.990,36.443,35.679,133.321,2
3.615,-11.140,-5.284,-126.122,-15.992,32.947,2
-8.952,7.640,-11.768,100.237,-35.321,231.786,2
-4.836,-0.713,1.063,-186.931,-179.389,-250.137,2
-6.584,-8.188,-5.289,-19.107,57.756,250.130,2
-7.705,13.489,-4.954,79.863,48.641,-152.725,2
-0.690,-9.895,-7.190,-98.649,-10.466,-132.901,2
-7.697,15.198,-5.131,52.710,-77.687,169.313,2
-6.462,2.389,1.942,-114.527,-39.359,-250.137,2
-2.385,-1.269,-6.230,114.229,-47.397,250.130,2
3.189,11.332,-9.266,227.435,250.130,-250.137,2
-8.729,-3.903,-2.356,160.427,22.748,228.344,2
-4.717,11.916,-4.281,197.252,82.687,-250.137,2
-5.265,-13.182,6.299,10.947,-53.626,250.130,2
-13.194,5.844,-0.642,71.176,147.855,-250.137,2
-4.884,-6.812,-4.120,-78.794,-53.771,189.794,2
-10.422,6.637,-7.973,92.115,123.603,-250.137,2
-3.474,-6.926,-3.677,-201.710,-183.832,250.130,2
-6.488,-1.889,-5.442,-176.443,-115.519,250.130,2
-1.724,-11.550,0.385,105.282,52.817,-92.840,2
-12.720,-1.269,-3.381,-46.878,72.992,-250.137,2
-7.175,9.555,-15.543,63.305,34.763,-75.725,2
-10.625,17.312,-15.423,-119.344,-54.847,250.130,2
-12.673,6.050,-13.793,44.496,-1.679,203.206,2
-4.626,-5.102,-4.353,-113.664,-95.939,120.626,2
-1.927,-13.453,0.891,-2.076,39.954,-3.763,2
-1.920,-5.066,-4.614,45.824,45.863,-164.099,2
-9.294,10.149,-12.031,129.214,110.443,-115.641,2
-9.845,10.235,-18.325,-124.069,-65.168,137.053,2
-7.058,-4.834,-5.981,-115.756,-116.397,39.588,2
-0.213,-19.079,4.152,-55.992,5.740,25.382,2
-4.247,-2.011,-5.059,21.252,36.336,-171.794,2
-8.722,6.594,-13.329,47.137,60.954,-51.412,2
-7.673,0.905,-8.784,-44.267,-77.405,142.015,2
-0.702,-16.563,4.214,-2.313,73.160,-24.725,2
-4.843,-3.230,-6.416,-44.916,9.672,-235.206,2
-8.143,9.282,-17.463,5.351,-20.847,83.557,2
-7.056,-3.302,-7.788,-62.733,-52.672,49.160,2
-2.514,-9.665,-1.243,18.863,76.634,-14.725,2
-6.036,0.505,-8.995,9.771,18.969,-112.473,2
-7.819,7.245,-15.426,-76.855,-62.466,129.725,2
-5.092,-5.926,-5.296,-81.206,-93.718,15.252,2
-1.346,-8.459,-2.569,39.901,64.290,-63.092,2
-6.922,1.858,-10.156,58.107,48.603,-61.115,2
-9.364,1.561,-10.314,-18.038,-34.786,116.618,2
-3.062,-9.991,-1.508,-16.458,14.511,12.557,2
-3.883,-3.165,-6.251,34.061,14.496,-124.198,2
-9.541,6.017,-15.637,-21.641,1.756,34.519,2
-6.718,-3.900,-6.448,-78.504,-102.130,58.435,2
0.385,-10.053,2.411,90.855,96.427,-59.847,2
-8.940,3.941,-9.440,12.267,69.397,-164.626,2
-8.732,6.608,-16.767,-77.489,-37.817,135.672,2
-3.115,-9.148,-2.241,-93.618,-84.359,15.664,2
-5.825,-2.018,-5.849,-75.588,-5.916,-129.687,2
-3.656,-2.859,-9.088,71.649,-111.931,175.099,2
-2.828,-5.382,-2.296,98.863,97.466,-106.534,2
-5.974,-0.967,-8.164,-89.878,-59.931,70.679,2
-7.089,0.934,-9.718,10.344,16.420,-9.237,2
-5.562,-1.884,-8.533,-77.695,-1.168,87.221,2
-4.389,-3.783,-6.021,23.031,39.008,-82.275,2
-2.823,-1.056,-8.842,-23.061,-18.168,42.985,2
-5.064,-1.470,-8.444,-0.763,7.924,-5.870,2
-4.779,-1.709,-8.633,-9.412,5.878,2.641,2
-4.779,-1.788,-8.655,-6.344,6.847,-4.015,1
-4.817,-1.724,-8.578,-5.809,7.115,-3.763,1
-4.810,-1.707,-8.729,-7.733,6.473,-0.626,1
-4.748,-1.800,-8.657,-6.878,6.992,-3.053,1
-4.810,-1.719,-8.686,-6.977,6.756,-2.214,1
-4.705,-1.772,-8.657,-7.298,6.611,-2.092,1
-4.805,-1.757,-8.622,-7.229,6.733,-1.802,1
-4.741,-1.755,-8.708,-7.076,6.802,-2.015,1
-4.815,-1.690,-8.672,-7.176,6.748,-1.626,1
-4.750,-1.810,-8.689,-7.221,6.588,-1.763,1
-4.808,-1.733,-8.657,-6.977,6.588,-1.939,1
-4.714,-1.774,-8.636,-7.130,6.725,-1.840,1
-4.808,-1.743,-8.650,-7.076,6.695,-1.702,1
-4.784,-1.717,-8.662,-7.237,6.748,-1.756,1
-4.820,-1.712,-8.732,-7.076,6.565,-1.901,1
-4.700,-1.781,-8.674,-7.137,6.802,-1.771,1
