ax,ay,az,gx,gy,gz,cls
-10.585,-1.329,-2.124,2.328,15.893,-5.954,0
-2.586,-8.301,3.424,203.374,31.603,81.473,0
-10.647,11.679,-3.316,167.237,-73.168,250.130,0
-7.324,11.011,-3.893,6.450,-60.443,12.023,0
-7.154,6.223,-2.674,-5.145,15.550,-88.977,0
-9.596,5.009,-1.456,-33.924,57.802,-57.756,0
-10.005,5.705,-2.564,-62.618,0.527,-61.679,0
-7.604,2.610,-2.260,-106.481,-3.656,-90.435,0
-10.034,1.638,0.019,-101.634,31.527,-100.092,0
-9.402,-0.632,-1.027,-85.901,38.053,-74.290,0
-9.134,-0.402,-0.996,-58.931,-27.679,-45.656,0
-10.185,-0.958,-0.101,-45.489,12.298,-29.863,0
-8.801,-1.168,-1.774,-40.237,-4.412,-24.725,0
-10.120,-1.472,-0.486,-17.046,4.115,-9.679,2
-9.086,-1.544,-0.852,-1.595,-1.145,9.748,2
-9.213,-1.286,-0.958,15.565,1.336,29.565,2
-9.333,-2.389,-1.666,48.305,5.763,33.031,2
-5.528,-4.250,-3.900,172.580,75.557,109.168,2
-7.614,2.298,-2.492,247.931,125.069,141.183,2
-15.881,16.056,-6.211,47.794,-13.145,173.931,3
-7.951,7.245,-5.763,-24.977,-11.290,-100.420,3
-8.820,2.907,-4.451,-72.924,3.878,-51.794,3
-9.811,3.158,-3.472,-69.427,15.015,-83.084,3
-9.412,1.707,-2.828,-104.733,-31.718,-65.641,3
-8.607,-0.124,-2.471,-87.336,-44.756,-50.557,3
-8.440,-1.140,-1.391,-70.863,-13.534,-16.275,2
-9.998,0.251,-1.228,-38.611,27.740,-12.527,2
-9.677,0.074,-1.697,-25.359,6.557,-23.916,2
-9.524,-0.460,-0.864,-13.924,-2.145,-4.450,2
-9.857,0.239,-1.463,-10.038,24.557,-7.611,0
-9.752,0.041,-1.779,-9.405,13.718,-6.687,0
-9.831,-0.034,-1.602,-5.053,-7.550,-1.397,0
-9.376,-0.792,-2.229,2.168,5.015,9.435,0
-8.748,-5.753,-1.894,60.137,9.466,48.893,0
-1.140,-5.662,-5.440,151.122,32.656,162.557,0
-13.549,16.879,-9.957,100.260,-4.817,163.779,0
-10.932,10.015,-4.336,18.153,-68.053,-7.450,0
-5.298,2.861,-2.689,-45.137,-14.458,-34.962,0
-9.177,4.367,-4.846,-59.733,45.374,-63.878,2
-9.213,2.559,-3.701,-90.359,36.908,-74.229,2
-9.527,0.666,-1.674,-80.015,-15.595,-80.176,2
-8.880,0.036,-2.851,-70.176,-7.534,-38.206,2
-8.875,0.359,-2.442,-53.244,-18.313,-40.885,2
-9.105,0.345,-2.622,-31.924,2.733,-24.198,2
-9.725,0.247,-2.083,-26.992,18.061,-28.618,0
-9.457,0.565,-2.172,-16.580,-21.557,-2.229,0
-9.795,0.326,-1.314,-12.817,-20.901,2.015,0
-9.141,0.287,-2.133,-11.656,-8.435,0.954,0
-9.313,-1.183,-1.542,-0.214,23.481,-5.344,0
-8.660,-3.821,-2.274,67.221,23.557,41.611,0
-5.006,-5.416,-3.268,168.244,35.214,128.908,0
-19.415,19.613,-9.148,40.885,179.237,250.130,0
