[2026-03-14 22:29:07.3103 573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
RF_TEST_123\r\n-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.9[2026-03-14 22:29:08.1801 75,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
RF_TEST_123\r\n-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-1.771,1
-4.855,-4.975,-7.132,-7.031,6.573,-[2026-03-15 15:47:12.0305 -6.139,-4.463,-6.522,-7.405,6.183,-1.191,1
-6.191,-4.283,-6.436,-7.916,5.000,0.107,1
-6.558,-4.235,-6.620,-23.397,2.298,21.985,1
-6.632,-3.828,-6.531,-7.840,4.924,-0.305,1
-6.754,-3.852,-6.440,-10.695,8.382,9.656,1
-7.101,-3.247,-6.515,-11.504,4.336,6.550,1
-6.646,-3.668,-6.366,-13.099,4.718,-5.069,1
-7.563,-2.758,-6.972,-5.122,10.748,7.290,1
-5.693,-3.838,-5.614,-6.137,6.008,-9.511,1
-7.752,-3.108,-7.044,-7.580,9.351,-13.153,2
-5.904,-4.094,-5.969,-15.168,3.527,13.252,2
-7.283,-4.111,-7.185,2.511,4.389,-20[2026-03-15 15:47:13.8368 .832,2
-6.881,-3.814,-6.563,-30.939,10.015,53.779,2
-6.335,-3.598,-6.043,0.725,3.557,-21.550,2
-6.598,-3.352,-6.400,-4.885,7.382,0.565,0
-6.177,-4.254,-6.060,-12.603,7.763,-2.542,0
-6.958,-3.424,-6.412,-10.137,4.305,9.015,0
-6.606,-3.666,-6.251,-10.794,7.603,5.817,0
-6.783,-3.488,-6.124,-5.053,5.496,-5.023,0
-6.177,-4.087,-6.002,2.481,8.099,-37.679,0
-9.199,-6.443,-7.733,33.542,11.969,-59.893,0
-6.376,-5.626,-6.349,-47.565,5.198,59.130,0
-5.782,-3.788,-6.060,-4.969,5.420,-5.313,2
-6.450,-4.087,-6.498,-11.37[2026-03-15 15:47:15.6442 4,1.359,7.916,2
-6.594,-3.632,-6.263,-7.511,4.473,-0.779,2
-6.747,-3.780,-6.431,-6.977,5.221,-2.038,0
-6.843,-3.824,-6.364,-7.267,4.695,-0.977,0
-6.732,-3.687,-6.201,-7.214,6.229,-1.947,0
-6.776,-3.682,-6.220,-7.275,6.351,-0.687,1
-6.862,-3.768,-6.172,-7.405,6.496,-0.290,1
-6.812,-3.632,-6.177,-6.969,6.107,-2.000,1
-6.809,-3.778,-6.208,-7.244,5.565,-1.779,1
-6.936,-4.075,-6.223,-2.412,-1.901,-1.580,1
-6.531,-3.859,-5.839,-20.405,10.298,16.527,1
-6.709,-3.905,-5.959,13.038,2.855,-33.084,1
-6.615,-4.568,-5.94[2026-03-15 15:47:17.4485 5,-3.420,9.038,-11.702,0
-5.569,-5.162,-5.567,57.725,20.336,-149.260,0
-4.633,-6.828,-5.476,-12.214,7.000,-4.229,0
-5.962,-5.722,-6.074,-33.786,1.298,68.672,0
-6.053,-5.155,-5.892,-6.893,4.664,-2.664,0
-5.978,-5.179,-5.768,-17.145,7.038,11.351,0
-6.433,-5.550,-6.139,-2.496,4.282,-5.511,0
-5.854,-4.891,-5.641,-16.344,6.885,11.275,0
-5.669,-4.652,-5.449,39.550,9.069,-80.374,0
-6.184,-5.801,-5.928,-24.634,3.824,29.466,0
-6.005,-5.164,-5.693,-9.863,5.450,2.122,0
-5.945,-5.042,-5.646,41.557,8.802,-71.542,0
-5.91[2026-03-15 15:47:19.1730 8,-4.882,-5.598,1.611,7.954,-10.076,0
-6.359,-6.661,-6.177,17.664,4.557,-35.351,0
-6.088,-5.332,-5.765,-22.198,5.985,18.908,0
-5.904,-5.356,-5.655,-17.481,5.221,11.527,0
-6.388,-5.289,-5.990,-7.099,4.916,2.542,0
-5.760,-5.351,-5.464,-17.901,6.817,12.710,0
-5.856,-5.413,-5.543,14.046,5.916,-34.924,0
-6.112,-5.231,-5.701,-6.107,7.885,0.443,0
-6.304,-5.040,-5.868,-13.977,7.649,14.672,0
-6.474,-4.820,-5.827,-4.053,4.802,0.840,0
-6.529,-4.990,-5.909,-8.748,4.336,9.458,0
-6.381,-5.241,-5.775,8.092,9.527,-24.641,0[2026-03-15 15:47:20.9832 
-6.187,-5.581,-5.816,-5.412,6.916,-3.435,0
-5.995,-5.476,-5.653,-6.092,7.580,-5.183,0
-5.909,-5.437,-5.614,-8.168,6.183,-0.809,0
-6.184,-5.555,-5.837,-12.588,4.779,4.916,0
-6.182,-5.234,-5.770,-7.977,5.435,1.221,0
-6.232,-5.224,-5.765,-8.229,5.244,0.695,0
-6.199,-5.380,-5.708,-9.901,5.786,2.061,1
-6.177,-5.392,-5.698,-7.252,5.840,-1.664,1
-6.151,-5.308,-5.564,-7.252,6.145,-0.847,1
-6.215,-5.485,-5.684,-8.489,6.214,0.267,1
-6.203,-5.478,-5.535,-5.870,6.878,-2.420,1
-6.144,-5.339,-5.602,-3.916,6.977,-4.282,1[2026-03-15 15:47:22.7954 
-6.211,-5.488,-5.583,-7.450,6.748,-0.840,1
-6.110,-5.351,-5.607,-7.405,7.450,0.977,1
-6.199,-5.291,-5.753,-7.542,7.252,-0.221,1
-6.117,-5.411,-5.758,-5.420,6.573,-3.863,1
-6.062,-5.291,-5.626,-5.992,6.275,-3.115,1
-6.146,-5.473,-5.696,-7.443,6.359,-0.863,1
-6.086,-5.440,-5.638,-6.237,6.504,-3.137,1
-6.033,-5.406,-5.655,-5.168,6.710,-4.015,1
-6.036,-5.528,-5.657,-6.015,6.305,-3.580,1
-6.024,-5.514,-5.634,-6.321,6.466,-3.084,1
-6.057,-5.543,-5.600,-6.756,6.550,-1.664,1
-6.055,-5.519,-5.567,-7.168,6.359,-1.38[2026-03-15 15:47:24.5943 2,1
-6.041,-5.571,-5.655,-5.519,6.756,-2.656,1
-5.986,-5.476,-5.638,-9.275,7.084,-0.206,1
-6.060,-5.397,-5.629,-8.450,6.443,0.496,1
-6.333,-6.002,-6.340,78.939,20.275,-155.420,1
3.503,-7.547,-2.715,143.992,24.969,-250.137,1
-3.869,-15.297,-3.565,-78.664,-69.412,137.092,1
-0.163,-9.122,-4.671,-3.618,34.099,-18.885,1
0.601,-8.885,-4.367,-14.603,12.450,9.359,1
0.333,-8.873,-4.554,-10.603,0.718,-0.763,1
0.414,-8.739,-4.537,-10.435,7.802,4.275,1
0.163,-9.079,-4.614,-11.840,4.282,9.191,1
0.120,-8.918,-4.630,-10.1[2026-03-15 15:47:26.4042 30,5.824,7.298,1
0.081,-8.887,-4.626,-6.458,4.779,-5.206,1
-0.807,-10.436,-5.413,-30.603,-6.733,54.038,1
-0.725,-8.423,-4.946,-8.809,-0.344,2.458,1
-1.008,-8.691,-5.150,-16.084,2.733,20.687,1
-1.111,-8.641,-5.131,-4.863,6.290,-2.901,1
-0.472,-8.751,-4.750,3.458,10.939,-20.183,1
-1.350,-8.906,-5.095,-10.298,-8.237,21.313,1
