[2026-03-15 15:48:01.9292 -4.235,-3.421,-8.514,-6.504,6.473,-3.435,1
-4.166,-3.371,-8.487,-6.748,6.679,-2.244,1
-4.187,-3.407,-8.435,-7.038,6.565,-1.771,1
-4.128,-3.364,-8.497,-7.053,6.649,-2.107,1
-4.199,-3.385,-8.523,-7.275,6.076,-0.679,1
-4.180,-3.395,-8.466,-6.794,6.847,-2.374,1
-4.149,-3.395,-8.485,-6.878,6.672,-2.252,1
-4.111,-3.417,-8.449,-7.466,6.282,-1.817,1
-4.128,-3.452,-8.404,-6.947,5.725,-2.313,1
-4.135,-3.405,-8.454,-6.924,6.427,-2.023,1
-4.104,-3.409,-8.473,-7.008,6.511,-2.473,1
-4.159,-3.397,-8.440,-6.771,6.634,-2.77[2026-03-15 15:48:03.7376 1,1
-4.135,-3.431,-8.473,-6.802,6.756,-2.588,1
-4.142,-3.364,-8.466,-6.855,6.718,-2.466,1
-4.128,-3.407,-8.464,-7.031,6.458,-2.061,1
-4.147,-3.426,-8.464,-7.565,5.947,-1.145,1
-4.108,-3.445,-8.449,-7.160,6.290,-1.809,1
-4.164,-3.400,-8.511,-6.863,6.237,-2.084,1
-4.168,-3.385,-8.428,-6.916,6.397,-2.076,1
-4.161,-3.397,-8.519,-7.336,5.565,-1.031,1
-4.235,-3.342,-8.519,-6.420,6.733,-3.107,1
-4.171,-3.347,-8.516,-7.985,4.168,2.878,1
-4.377,-3.270,-8.442,-7.275,6.916,1.779,1
-4.240,-3.424,-8.401,-6.313,9.023,-4.[2026-03-15 15:48:05.5451 458,1
-4.235,-3.275,-8.626,-9.267,4.489,5.847,1
-4.345,-3.263,-8.466,-5.374,11.275,-6.038,1
-4.281,-3.314,-8.411,-7.084,5.061,-1.588,1
-4.211,-3.333,-8.624,-7.679,8.840,-0.626,1
-4.240,-3.268,-8.432,-6.664,7.847,-2.557,1
-4.080,-3.405,-8.495,-9.130,0.740,5.954,1
-4.508,-3.553,-8.847,-5.374,11.824,-6.885,1
-4.164,-3.381,-8.437,-5.756,6.786,-4.893,1
-3.689,-3.776,-8.478,-3.435,5.023,-23.527,0
-3.086,-2.538,-7.638,6.298,-0.588,-28.794,0
-4.120,-3.510,-8.490,-3.405,10.290,-15.336,0
-4.128,-3.440,-8.358,-4.992,6[2026-03-15 15:48:07.3517 .916,-8.893,0
-4.209,-3.462,-8.449,-7.504,6.344,0.023,0
-4.298,-3.390,-8.437,-7.466,8.359,1.595,1
-4.207,-3.407,-8.483,-6.565,6.160,-4.634,1
-4.211,-3.469,-8.399,-7.611,6.427,-0.282,1
-4.231,-3.457,-8.349,-7.382,6.321,-1.107,1
-4.250,-3.424,-8.418,-6.954,6.443,-1.718,1
-4.226,-3.496,-8.406,-6.817,6.863,-1.649,1
-4.142,-3.440,-8.217,-6.450,6.214,-1.840,1
-4.195,-3.438,-8.373,-7.588,7.000,-0.092,1
-5.978,-2.456,-8.432,-12.023,18.473,24.947,1
-5.274,-2.444,-9.019,15.969,23.817,-67.771,1
-4.369,-3.306,-8.394,-1[2026-03-15 15:48:09.1592 3.771,2.046,20.573,1
-5.294,-3.819,-8.162,0.023,2.840,-27.718,1
-4.106,-5.227,-9.723,-13.221,13.969,27.992,1
-5.533,-3.467,-8.420,-11.779,-4.115,19.344,1
-5.102,-3.247,-7.448,10.763,9.725,1.809,1
-4.379,-5.085,-9.184,15.985,23.992,-17.099,1
-5.054,-3.792,-7.049,32.511,17.031,-1.084,1
-4.300,-5.796,-7.518,14.031,-2.687,-6.137,2
-1.609,-1.235,-19.613,18.832,-24.969,20.969,2
-5.746,-6.270,-7.120,0.145,9.450,-8.870,2
-5.028,-5.720,-7.669,4.061,11.542,64.534,2
-5.734,-4.415,-6.100,11.817,10.450,15.359,2
-5.334,-[2026-03-15 15:48:10.8777 4.635,-6.273,58.046,-5.183,-56.206,2
-3.615,-5.950,-5.727,43.534,40.924,-73.061,2
-3.309,-6.723,-5.775,11.336,17.702,-32.527,2
-3.033,-7.803,-5.899,-27.053,12.763,11.328,2
-2.823,-7.233,-6.155,-7.962,13.176,-6.183,0
-2.370,-7.456,-6.002,-6.649,11.466,-5.992,0
-2.435,-7.374,-6.031,0.191,12.435,-5.702,0
-2.251,-7.807,-6.021,-11.252,10.221,1.038,0
-2.808,-7.776,-6.503,-8.924,11.496,-4.588,0
-2.732,-7.772,-6.515,-32.336,6.450,30.565,0
-3.402,-6.299,-6.883,-35.725,-4.298,32.634,0
-3.757,-6.148,-7.254,-26.420,4.8[2026-03-15 15:48:12.6774 63,26.244,0
-3.812,-6.328,-6.905,-9.962,-2.115,13.252,0
-4.300,-5.849,-7.276,-6.504,-4.450,-7.359,0
-3.266,-6.208,-6.251,-23.053,-11.053,13.427,0
-5.112,-6.512,-7.594,37.947,19.672,-56.695,0
-3.994,-5.863,-6.771,-49.481,-11.916,59.160,2
-3.577,-5.583,-6.170,54.573,19.481,-89.351,2
-5.454,-8.104,-7.578,-87.183,8.305,128.718,2
-3.158,-5.988,-6.007,-0.840,-0.344,-12.130,2
-4.642,-6.840,-7.602,9.290,8.458,-20.840,2
-3.682,-5.911,-6.515,-91.336,-14.893,98.282,2
-4.156,-5.155,-6.536,58.969,17.916,-101.824,2
-4.49[2026-03-15 15:48:14.3924 2,-6.105,-7.288,-40.366,-1.260,46.519,2
-3.153,-6.325,-6.093,47.260,21.557,-82.466,2
-3.948,-7.202,-7.223,-81.137,-7.924,110.626,2
-3.247,-6.182,-6.254,80.893,27.359,-131.855,2
-4.257,-6.563,-7.372,-60.305,-5.840,80.115,2
-2.605,-6.443,-6.000,-5.313,10.244,-7.641,2
